attribute	syn1	syn2	syn3	syn4	syn5
lazy	idle	inattentive	careless	apathetic	passive
lively	animated	active	spirited	vivacious	energetic
lonely	solitary	friendless	isolated	desolate	insulated
loyal	dedicated	devoted	faithful	dependable	reliable
mature	adult	developed	sophisticated	responsible	grown
meek	humble	modest	unpretentious	compliant	submissive
merry	festive	gleeful	jolly	cheerful	lively
messy	cluttered	disorderly	sloppy	untidy	unclean
mischievous	naughty	misbehaving	playful	sly	disobedient
moral	ethical	just	principled	virtuous	righteous
natural	genuine	honest	innocent	simple	sincere
neat	groomed	orderly	tidy	trim	uncluttered
nervous	anxious	distressed	restless	tense	uneasy
noisy	bold	loud	dramatic	flamboyant	showy
organized	methodical	neat	orderly	clean	systematic
original	clever	creative	imaginative	ingenious	innovative
patient	stoic	tolerant	uncomplaining	lenient	yielding
peaceful	calm	collected	composed	cool	level
playful	energetic	lively	spirited 	vivacious 	entertaining
pleasant	agreeable	kind	nice	sweet	gentle
polished	civilized	cultivated	cultured	refined	clean
polite	civil 	courteous	gracious	mannerly	refined
practical	pragmatic	realistic	grounded	logical	rational
precise	exact	refined	rigorous	careful	meticulous
proud	conceited	egotistic	pompous	proud	smug
rash	hasty	hurried	impatient	impulsive	reckless
rational	logical	practical	sensible	analytical	reasonable
reasonable	just	logical	rational	sensible	practical
relaxed	easygoing	flexible	lax	content	peaceful
reserved	closemouthed	silent	quiet	introverted	restrained
resigned	nonresistant	passive	tolerant	unresisting	yielding
respectable	esteemed	prestigious	reputable	respected	honorable
responsible	dependable	reliable	trustworthy	honest	trusty
restless	uneasy	agitated	distressed	troubled	unsettled
retiring	introverted	modest	reclusive	shy	withdrawn
rigid	inflexible	strict	stringent	strict	tough
romantic	idealistic	sentimental	hopeful	optimistic	unrealistic
rude	disrespectful	impolite	inconsiderate	thoughtless	uncivil
sarcastic	caustic	sardonic	snarky	facetious	flippant
satisfied	content	happy	pleased	delighted	appeased
selfish	egotistical	narcissistic	conceited	prideful	proud
sensitive	delicate	perceptive	keen	quick	sharp
serious	earnest	grave	humorless	severe	sober
severe	authoritarian	hard	harsh	rigid	rigorous
sexy	desirable	hot	luscious	alluring	seductive
shallow	superficial	cursory	aimless	limited	narrow
shy	fearful	fearsome	mousy	quiet	timid
silent	quiet	mute	muted	speechless	uncommunicative
simple	basic	bare	naked	plain	undecorated
sloppy	snobbish	slovenly	unkempt	untidy	chaotic
sly	crafty	cunning	cute	designing	devious
smart	astute	canny	hardheaded	knowing	savvy
social	companionable	convivial	extroverted	outgoing	sociable
soft	dull	gentle	low	quiet	calm
sophisticated	cosmopolitan	smart	worldly	suave	civilized
spiritual	ethereal	formless	immaterial	unsubstantial	metaphysical
stable	certain	solid	final	firm	fixed
steady	constant	dedicated	devoted	devout	faithful
strict	austere	authoritarian	hard	harsh	rigid
strong	brawny	muscular	rugged	forceful	mighty
stubborn	adamant	dogged	hard	headstrong	immovable
stupid	unintelligent	brainless	dense	dim	dumb
subtle	artful	crafty	cunning	cute	designing
superficial	shallow	cursory	hasty	simple	passing
suspicious	debatable	disputable	doubtful	dubious	equivocal
sympathetic	compassionate	empathetic	humane	understanding	kind
talented	gifted	accomplished	adept	educated	experienced
tender	delicate	fragile	frail	sensitive	kind
tense	antsy	anxious	edgy	insecure	jittery
thoughtful	attentive	considerate	kind	good	helpful
tidy	crisp	groomed	kempt	neat	orderly
touchy	crabby	hypersensitive	oversensitive	sensitive	tender
tough	austere	authoritarian	hard	harsh	rigid
traditional	conservative	orthodox	traditional	unprogressive	conventional
trusting	confiding	trustful	trustworthy	credulous	gullible
understanding	kind	compassionate	empathetic	humane	sympathetic
unfair	dirty	foul	nasty	unsportsmanlike	dishonorable
upright	decent	ethical	good	honest	honorable
verbal	linguistic	rhetorical	wordy	communicative	conversational
warm	ardent	emotional	fervent	fiery	glowing
weak	debilitated	delicate	faint	feeble	frail
worried	antsy	anxious	upset	insecure	jittery
